baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
EFA_00093	1.83367279667995	-2.80306279914241	1.54525237587125	-1.81398381449631	0.069680217655044	0.131181576975496
EFA_00094	0	NA	NA	NA	NA	NA
EFA_00095	0	NA	NA	NA	NA	NA
EFA_00096	46.3784848798822	1.37325824946949	0.292793894206038	4.69018745487614	2.72954868407336e-06	1.25989296977084e-05
EFA_00097	159.951670615149	0.323664410945195	0.183511707967815	1.76372621959336	0.0777780845192171	0.143509563402746
EFA_00098	27.864263337196	-1.2346144852659	0.365871705279518	-3.37444647249417	0.00073964298852632	0.00232586530126951
EFA_00099	121.792296160713	-1.30322829674865	0.204600820047994	-6.36961423929261	1.89504225380944e-10	1.3334966447762e-09
EFA_00100	39.0456714335001	-1.69820539931483	0.341765877002001	-4.96891443409047	6.73287701987881e-07	3.28743025919593e-06
EFA_00101	193.614906636638	-2.04752306117197	0.181446386837031	-11.284452101055	1.56614365949141e-29	3.3555212286566e-28
EFA_00102	90.9311800394403	-1.25121800594696	0.222541973117221	-5.62239108614307	1.88332304755892e-08	1.11453585128879e-07
EFA_00103	61.528815095804	-0.662782916170783	0.277066347699688	-2.39214513661967	0.0167502171903274	0.037747153495628
EFA_00104	0.983291007049116	-1.82257125094278	1.81123205162646	-1.00626048954144	0.314290281155745	0.451841460790257
EFA_00105	206.253546932834	-0.678564592166544	0.17330553525797	-3.91542365427903	9.02455991981267e-05	0.000334316277803641
EFA_00106	33.0786993507713	-1.11255680128518	0.347339370937335	-3.20308290500676	0.00135964833529667	0.00397915430238199
EFA_00107	82.7205117885765	-1.23988922317775	0.22852381630304	-5.42564553330218	5.77454566953604e-08	3.24436802685674e-07
EFA_00108	52.6460405747525	-0.463533148741825	0.263761374603289	-1.75739586373859	0.0788503578620178	0.14492917888723
EFA_00109	60.5384644002049	-0.500789928470863	0.255722384314499	-1.95833434688677	0.0501907930256509	0.0984274363228441
EFA_00110	66.1876169923715	-1.5603236627748	0.2589108114414	-6.02649095295873	1.67557686782428e-09	1.08836678450758e-08
EFA_00111	60.7872156275693	-1.14436995544179	0.257948146964718	-4.43643410083624	9.14613169016559e-06	3.87294160508339e-05
EFA_00112	65.0962776121474	-1.44903231336917	0.267030369262429	-5.42647009541116	5.74794501867015e-08	3.23575493109843e-07
EFA_00113	95.5866237978376	-1.86954973843208	0.239295006783118	-7.81274028056305	5.59578283191682e-15	5.73767589658328e-14
EFA_00114	33.2995522662497	-1.24905384332241	0.347169561192834	-3.5978207278046	0.000320894669150388	0.00107501586362983
EFA_00115	60.6845620778309	-1.20868273477278	0.261018275766288	-4.63064408507173	3.64530010338959e-06	1.65334227438097e-05
EFA_00116	0.582865047364575	1.6230603865716	2.2842549830747	0.710542561403061	0.47736774750588	0.6190256563186
EFA_00117	280.447541400043	-2.05743771361922	0.170507071528982	-12.0665828998741	1.58583563683854e-33	3.82599505324659e-32
EFA_00118	56.9880531261546	-1.89583863452272	0.285030078945535	-6.65136339833449	2.90390296630106e-11	2.20558344345247e-10
EFA_00119	85.85314738918	-2.28688209705384	0.259210659457486	-8.82248477682268	1.11947419936488e-18	1.45430336035139e-17
EFA_00120	63.3810368371354	-2.13581792950685	0.289176201941082	-7.38587032809158	1.51459350596207e-13	1.37685655489936e-12
EFA_00121	64.2546075458979	-1.48353323703399	0.256449972838192	-5.78488358027641	7.25625659583757e-09	4.46096631405774e-08
EFA_00122	144.651337436851	-0.841382623796372	0.182251445726806	-4.61660328915908	3.9007191904292e-06	1.76084352133997e-05
EFA_00123	63.2483097502972	-0.167895623042108	0.244731512351851	-0.686040066637289	0.492687842877219	0.632605902012744
EFA_00124	302.419492126278	-0.493889113156001	0.143951369392329	-3.43094418094726	0.000601484354603854	0.00192086939050908
EFA_00125	56.2686875692207	-0.867547769841138	0.291654757324903	-2.97457095436538	0.00293398593237021	0.00787976951528052
EFA_00126	53.9970657248312	-0.89124976241551	0.262039286442318	-3.40120664544588	0.000670890920393327	0.00213067238102792
EFA_00127	92.8237175825276	-1.1239721721422	0.225645681510016	-4.98113752774084	6.32115950313139e-07	3.10223058692141e-06
EFA_00128	35.4472049813415	-0.883234060565772	0.331227269113782	-2.66654995806631	0.00766342156830295	0.0187727673401005
EFA_00129	40.8447579026916	-0.623651414335481	0.296109290095325	-2.1061528131546	0.0351910804930132	0.0719100299611678
EFA_00130	54.1584576508746	-0.81530341991383	0.268747971327374	-3.03371004397526	0.00241566483961341	0.00666222262683008
EFA_00131	129.897307451488	-0.864130260721108	0.189998110407805	-4.54809923565224	5.41326103495815e-06	2.39099575867152e-05
EFA_00132	97.5507180178546	-0.926834846458552	0.220528606555176	-4.20278738861327	2.6364819930852e-05	0.000105129719474272
EFA_00133	112.422107475271	-1.08304146558635	0.210199057121159	-5.1524563450448	2.57096478213865e-07	1.32043647397496e-06
EFA_00134	44.3059116297409	0.751409282259086	0.292198165662274	2.57157426213131	0.010123730056804	0.0241405556420966
EFA_00135	116.316679784083	1.141575743543	0.196495311794165	5.80968437933441	6.25907278079736e-09	3.86447267820844e-08
EFA_00136	32.2904766297547	-0.295749144754129	0.334244838492228	-0.884827858788327	0.376249481562454	0.520584222441352
EFA_00137	0	NA	NA	NA	NA	NA
EFA_00138	0	NA	NA	NA	NA	NA
EFA_00139	0	NA	NA	NA	NA	NA
EFA_00140	0	NA	NA	NA	NA	NA
EFA_00141	0	NA	NA	NA	NA	NA
EFA_00142	0	NA	NA	NA	NA	NA
EFA_00144	1.73760833690419	-0.163008797503682	1.27307654085023	-0.128043202645786	0.898114783642539	0.94105384811596
EFA_00145	0	NA	NA	NA	NA	NA
EFA_00146	0	NA	NA	NA	NA	NA
EFA_00147	0	NA	NA	NA	NA	NA
EFA_00148	0.318406998844726	0.675766101709846	2.89611754226695	0.23333517781909	0.815501144429591	0.880439142580295
EFA_00149	0	NA	NA	NA	NA	NA
EFA_00150	0	NA	NA	NA	NA	NA
EFA_00151	0	NA	NA	NA	NA	NA
EFA_00152	9.49251569298981	0.889365659716211	0.602691511290604	1.47565652254123	0.140036123168046	0.232813728104449
EFA_00153	8.73223417255377	2.48480648746077	0.718657156070507	3.45756869805244	0.000545073250668696	0.00176625880662509
EFA_00154	23.8179077729165	1.45807404223381	0.400938490169899	3.63665269856218	0.000276203934941142	0.000937330374959832
EFA_00155	0.856564642129009	2.4535765487634	1.97518803633277	1.24219897226536	0.214163158775618	0.331999151644061
EFA_00156	3.54197091715188	4.64274261411701	1.43929768789509	3.22570004326681	0.00125664982798087	0.00373096344998249
EFA_00157	3.54664079215874	3.68245186304305	1.28836926606537	2.85822703167169	0.00426015467713359	0.0110686914733489
EFA_00158	4.08784183312126	1.82188716974739	0.939643160595884	1.9389138836407	0.0525118251030075	0.102489088967189
EFA_00159	2.3445949864875	1.8933091966881	1.23845507157301	1.52876696147187	0.126322225502753	0.215235079773534
EFA_00160	11.2466932521486	4.80537691232963	0.939276431504207	5.11604118995518	3.12014951784348e-07	1.58547774614666e-06
EFA_00161	5.65630278531668	1.95843729175712	0.781354630874046	2.50646404893813	0.0121945458060304	0.0285567218671398
EFA_00162	1.24191435015634	3.0394132294739	1.78868474088925	1.69924479143421	0.0892730700681987	0.161095527445505
EFA_00163	5.85904389543253	4.43176483103507	1.20927935968864	3.66479820855962	0.000247533671993014	0.000845028742320978
EFA_00164	1.60620436713328	1.02171241534433	1.37684385010879	0.742068474405143	0.458045849374323	0.603233776859487
EFA_00165	78.7661889369074	0.962877794338303	0.244742609778423	3.93424665696767	8.34580445917621e-05	0.00031077567577555
EFA_00166	19.2819610586931	0.76887957094618	0.407391212610068	1.88732487875753	0.0591166421842457	0.113755951548907
EFA_00167	12.7393045710867	1.59807923378542	0.51567107096726	3.09902828325788	0.00194156484296822	0.00548130163126478
EFA_00168	0.806987786317164	1.15596383835193	1.91828530906436	0.602602664415832	0.54677304744906	0.67747609356607
EFA_00169	1.17545048470215	0.249868269265995	1.6388056774113	0.152469736168288	0.878816458377617	0.928627917556915
EFA_00170	10.5170270473651	2.0210898670228	0.584263827821615	3.45920758873314	0.000541767179664457	0.00175752946080978
EFA_00171	7.08290770054087	2.15365064626304	0.739947270895467	2.91054610371999	0.00360797732582597	0.00953268922292315
